timestamp,trip_id,route_id,trip_start_time,trip_start_date,vehicle_id,vehicle_label,vehicle_license_plate,latitude,longitude,bearing,speed,stop_id,stop_status,occupancy_status,congestion_level,progress,block_assigned,dist_along_route,dist_from_stop,mid,stop_sequence
2023-05-17 06:33:31+00,35587781-FRPB3-FR_B3-Weekday-02-SDon,Q35,,2023-05-17,MTABC_3500,,,40.631706,-73.946716,8.33,,350260,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 11:45:30+00,YU_B3-Weekday-SDon-040400_SIM10_592,SIM10,,2023-05-17,MTA NYCT_2546,,,40.684807,-74.006851,121.83,,402143,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1845281,
2023-05-17 11:45:23+00,YU_B3-Weekday-SDon-042000_SIM10_594,SIM10,,2023-05-17,MTA NYCT_2548,,,40.604191,-74.070702,337.46,,203344,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1845281,
2023-05-17 11:45:31+00,35601425-JKPB3-JK_B3-Weekday-02-SDon,Q37,,2023-05-17,MTABC_3821,,,40.671486,-73.820595,72.00,,553240,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1845281,
2023-05-17 11:45:18+00,35721023-LGPB3-LG_B3-Weekday-21,Q53+,,2023-05-17,MTABC_6090,,,40.646038,-73.836510,106.36,,982137,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1845281,
2023-05-17 11:45:38+00,35602300-JKPB3-JK_B3-Weekday-02-SDon,Q07,,2023-05-17,MTABC_3819,,,40.676540,-73.863342,3.60,,350172,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1845281,
2023-05-17 11:45:37+00,35602117-JKPB3-JK_B3-Weekday-02-SDon,Q08,,2023-05-17,MTABC_3814,,,40.699562,-73.807220,299.74,,550040,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1845281,
2023-05-17 11:45:28+00,35601688-JKPB3-JK_B3-Weekday-02-SDon,Q60,,2023-05-17,MTABC_3816,,,40.729610,-73.861435,339.29,,553410,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1845281,
2023-05-17 11:45:34+00,35601419-JKPB3-JK_B3-Weekday-02-SDon,Q37,,2023-05-17,MTABC_3812,,,40.713047,-73.833374,21.74,,982161,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1845281,
2023-05-17 11:45:30+00,35601876-JKPB3-JK_B3-Weekday-02-SDon,Q60,,2023-05-17,MTABC_3813,,,40.712963,-73.827454,157.03,,551666,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1845281,
2023-05-17 11:45:30+00,35721047-LGPB3-LG_B3-Weekday-21,Q53+,,2023-05-17,MTABC_6086,,,40.628742,-73.828041,285.52,,553225,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1845281,
2023-05-17 11:45:35+00,35672110-BPPB3-BP_B3-Weekday-02-SDon,Q111,,2023-05-17,MTABC_6080,,,40.655079,-73.726540,138.21,,552284,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1845281,
